name,cap_id,sv_face_id,cap_area_cm2,sv_area_cm2,area_rel_error,centroid_distance_cm,match_score
LICA,1,2,0.719243033564544,0.719243021268511,1.7095797103039746e-08,2.4006259911491917e-10,1.9496423094188936e-08
RICA,4,5,0.7194021437049287,0.7194021495614038,8.140752893097135e-09,1.273931566832787e-09,2.0880068561425006e-08
LVA,2,3,0.1768951735170472,0.17689517108964892,1.3722241450214945e-08,5.619005894999942e-10,1.9341247345214885e-08
RVA,3,4,0.1774956347062772,0.1774956288950431,3.2740152099494286e-08,1.6319523359373843e-09,4.905967545886813e-08
LPCA,7,8,0.175895512272342,0.17589551946931137,4.091616260464294e-08,2.2044086785430587e-08,2.613570304589488e-07
RPCA,10,11,0.1752969961195545,0.17529702785351017,1.8102966045014567e-07,3.7586248942547734e-08,5.56892149875623e-07
LMCA,9,10,0.1772142771223941,0.17721428509922546,4.5012351666235494e-08,1.9484113309661482e-08,2.398534847628503e-07
LACA,6,7,0.1753301178263862,0.1753300801003182,2.1517163428334278e-07,3.76078410874839e-08,5.912500451581818e-07
RACA,8,9,0.1752308791083357,0.17523082950056948,2.8309945416372243e-07,2.3320360339011377e-08,5.163030575538362e-07
RMCA,5,6,0.1762719763351854,0.17627199016964992,7.848362970701317e-08,4.865832593113823e-08,5.650668890183955e-07
