code,name,group,role,area_cm2,cell_count,surface_file,vessel
I1,L_CCA_IN,inlet,inlet,0.513395,428,L_CCA_IN.vtp,left_common_carotid_artery
I2,L_VA_IN,inlet,inlet,0.057448,117,L_VA_IN.vtp,left_vertebral_artery
I3,R_CCA_IN,inlet,inlet,0.798207,502,R_CCA_IN.vtp,right_common_carotid_artery
I4,R_VA_IN,inlet,inlet,0.057821,142,R_VA_IN.vtp,right_vertebral_artery
B1,L_ACA_OUT,brain_outlet,outlet,0.071235,278,L_ACA_OUT.vtp,left_anterior_cerebral_artery
B2,L_MCA_OUT,brain_outlet,outlet,0.065455,133,L_MCA_OUT.vtp,left_middle_cerebral_artery
B3,L_PCA_OUT,brain_outlet,outlet,0.027723,78,L_PCA_OUT.vtp,left_posterior_cerebral_artery
B4,R_ACA_OUT,brain_outlet,outlet,0.073580,307,R_ACA_OUT.vtp,right_anterior_cerebral_artery
B5,R_MCA_OUT,brain_outlet,outlet,0.063552,112,R_MCA_OUT.vtp,right_middle_cerebral_artery
B6,R_PCA_OUT,brain_outlet,outlet,0.027448,91,R_PCA_OUT.vtp,right_posterior_cerebral_artery
E1,L_STA_FB_OUT,external_outlet,outlet,0.005472,38,L_STA_FB_OUT.vtp,left_superficial_temporal_artery__branch__frontal_branch_of_superficial_temporal_artery_l
E2,L_STA_OUT1,external_outlet,outlet,0.009274,39,L_STA_OUT1.vtp,left_superficial_temporal_artery
E3,L_STA_OUT2,external_outlet,outlet,0.009536,47,L_STA_OUT2.vtp,left_superficial_temporal_artery
E4,L_STA_OUT3,external_outlet,outlet,0.003168,22,L_STA_OUT3.vtp,left_superficial_temporal_artery
E5,L_TFA_OUT,external_outlet,outlet,0.009000,52,L_TFA_OUT.vtp,left_external_carotid_artery__branch__transverse_facial_artery_l
E6,R_STA_FB_OUT,external_outlet,outlet,0.004062,28,R_STA_FB_OUT.vtp,right_superficial_temporal_artery__branch__frontal_branch_of_superficial_temporal_artery_r
E7,R_STA_OUT1,external_outlet,outlet,0.008605,43,R_STA_OUT1.vtp,right_superficial_temporal_artery
E8,R_STA_OUT2,external_outlet,outlet,0.008853,40,R_STA_OUT2.vtp,right_superficial_temporal_artery
E9,R_STA_OUT3,external_outlet,outlet,0.003635,31,R_STA_OUT3.vtp,right_superficial_temporal_artery
E10,R_TFA_OUT,external_outlet,outlet,0.009190,50,R_TFA_OUT.vtp,right_external_carotid_artery__branch__transverse_facial_artery_r
