outlet,target_flow_ml_min,Rp_barye_s_per_cm3,C_cm3_per_barye,Rd_barye_s_per_cm3
L_ACA_OUT,94,3403.96596,2.51549296e-06,64675.3532
R_ACA_OUT,94,3403.96596,2.51549296e-06,64675.3532
L_MCA_OUT,174,1838.92414,4.65633803e-06,34939.5586
R_MCA_OUT,174,1838.92414,4.65633803e-06,34939.5586
L_PCA_OUT,67,4775.71343,1.79295775e-06,90738.5552
R_PCA_OUT,67,4775.71343,1.79295775e-06,90738.5552
L_TFA_OUT,5,63994.56,1.33802817e-07,1215896.64
R_TFA_OUT,5,63994.56,1.33802817e-07,1215896.64
L_STA_OUT1,5,63994.56,1.33802817e-07,1215896.64
R_STA_OUT1,5,63994.56,1.33802817e-07,1215896.64
L_STA_OUT2,4,79993.2,1.07042254e-07,1519870.8
R_STA_OUT2,4,79993.2,1.07042254e-07,1519870.8
L_STA_OUT3,2,159986.4,5.35211268e-08,3039741.6
R_STA_OUT3,2,159986.4,5.35211268e-08,3039741.6
L_STA_FB_OUT,4,79993.2,1.07042254e-07,1519870.8
R_STA_FB_OUT,4,79993.2,1.07042254e-07,1519870.8
